sales_date,order_id,product_name,category,price,quantity,total,discount,shipping_fee,total_sales,customer_name,customer_address,channel,rating,status
2025-01-01,P00001,Minyak Goreng,Makanan,18000,1,18000,"0,15",20000,35300,Shinta,Malang,Online - Toko Oren,5,Returned
2025-01-01,P00002,Kopi,Makanan,25000,3,75000,"0,15",22000,85750,Eli,Makassar,Offline,4,Failed
2025-01-01,P00003,Deterjen,Pembersih,10000,3,30000,"0,15",25000,50500,Eka,Medan,Offline,1,Pending
2025-01-01,P00004,Minyak Goreng,Makanan,18000,1,18000,"0,15",20000,35300,Zenia,Surabaya,Online - Toko Oren,3,Pending
2025-01-01,P00005,Pasta Gigi,Perawatan,15000,3,45000,"0,15",12000,50250,Dicky,Bogor,Online - Toko Oren,1,Returned
2025-01-01,P00006,Minyak Goreng,Makanan,18000,3,54000,"0,15",22000,67900,Santi,Makassar,Online - Toko Oren,1,Pending
2025-01-01,P00007,Sabun Mandi,Pembersih,7000,3,21000,"0,15",25000,42850,Farhan,Medan,Offline,5,Failed
2025-01-01,P00008,Pembersih Lantai,Pembersih,8000,1,8000,"0,15",22000,28800,Dewa,Makassar,Online - Toko Oren,1,Success
2025-01-01,P00009,Pasta Gigi,Perawatan,15000,3,45000,"0,15",30000,68250,Zara,Samarinda,Offline,5,Pending
2025-01-01,P00010,Shampo,Perawatan,20000,2,40000,"0,15",18000,52000,Putra,Yogyakarta,Online - Toko Hijau,5,Failed
2025-01-01,P00011,Minyak Goreng,Makanan,18000,3,54000,"0,15",15000,60900,Nanda,Semarang,Offline,3,Returned
2025-01-01,P00012,Deterjen,Pembersih,10000,2,20000,"0,15",25000,42000,Iwan,Medan,Online - Toko Oren,2,Success
2025-01-01,P00013,Pasta Gigi,Perawatan,15000,1,15000,"0,15",18000,30750,Mutiara,Yogyakarta,Online - Toko Oren,5,Pending
2025-01-01,P00014,Pembersih Wajah,Perawatan,12000,2,24000,"0,15",22000,42400,Rian,Makassar,Offline,3,Returned
2025-01-01,P00015,Kopi,Makanan,25000,3,75000,"0,15",25000,88750,Mutiara,Medan,Offline,1,Success
2025-01-01,P00016,Minyak Goreng,Makanan,18000,3,54000,"0,15",25000,70900,Yusra,Bali,Offline,3,Success
2025-01-01,P00017,Deterjen,Pembersih,10000,3,30000,"0,15",15000,40500,Herry,Semarang,Online - Toko Oren,4,Pending
2025-01-01,P00018,Deterjen,Pembersih,10000,3,30000,"0,15",18000,43500,Iwan,Palembang,Offline,3,Success
2025-01-01,P00019,Sabun Mandi,Pembersih,7000,1,7000,"0,15",15000,20950,Arief,Jakarta,Online - Toko Hijau,2,Pending
2025-01-01,P00020,Kopi,Makanan,25000,1,25000,"0,15",18000,39250,Hana,Yogyakarta,Online - Toko Hijau,4,Success
2025-01-01,P00021,Teh,Makanan,15000,3,45000,"0,15",18000,56250,Joko,Palembang,Online - Toko Hijau,1,Pending
