Order ID,Order Date,Customer Name,City,Product Name,Unit Price,Quantity,Discount (%),Subtotal,Discount Amount,Total Sales,Shipping Fee,Grand Total,Payment Method,Order Status,Platform,Customer Rating,Jenis Kelamin
ORD01855,2024-09-16 00:22:49,Zahra Kurniawan,Wamena,Daging Ayam - Brand C,45000,4,0,,,,15000,,Kartu Kredit,,Toko Hijau,3,Perempuan
ORD01741,2024-09-16 00:40:51,Yani Pradipta,Palembang,Garam - Brand B,5000,4,20,,,,17000,,Transfer Bank,,Toko Ungu,5,Perempuan
ORD00016,2024-09-16 12:45:33,Indra Syahputra,Semarang,Minyak Goreng - Brand A,16000,5,5,,,,76000,,COD,,Toko Orange,1,Laki-laki
ORD00016,2024-09-16 12:45:33,Indra Syahputra,Semarang,Telur Ayam - Brand C,28000,1,10,,,,0,,COD,,Toko Orange,1,Laki-laki
ORD00411,2024-09-16 13:45:49,Yani Nugroho,Palembang,Garam - Brand A,4000,3,0,,,,17000,,Transfer Bank,,Toko Ungu,2,Perempuan
ORD00326,2024-09-16 15:12:08,Lestari Utami,Manado,Daging Ayam - Brand B,40000,1,0,,,,93000,,COD,,TokTok,2,Perempuan
ORD01208,2024-09-17 00:12:44,Erna Santoso,Samarinda,Tepung Terigu - Brand C,14000,4,0,,,,43000,,Kartu Kredit,,Toko Ungu,4,Perempuan
ORD01664,2024-09-17 01:51:29,Erna Rahmawati,Banda Aceh,Beras - Brand C,16000,2,0,,,,18000,,Transfer Bank,,Toko Ungu,5,Perempuan
ORD00644,2024-09-17 02:36:10,Erna Setiawan,Denpasar,Gula Pasir - Brand A,16000,1,0,,,,80000,,COD,,Toko Orange,5,Perempuan
ORD00628,2024-09-17 11:08:31,Bella Santoso,Tanjung Selor,Susu Bubuk - Brand B,50000,2,10,,,,26000,,e-Wallet,,Toko Orange,2,Perempuan
ORD00049,2024-09-17 13:31:52,Joko Halim,Kendari,Beras - Brand B,15000,1,20,,,,59000,,e-Wallet,,Toko Orange,1,Laki-laki
ORD00634,2024-09-17 19:00:20,Fajar Budiman,Nabire,Bawang Merah - Brand C,40000,4,5,,,,89000,,COD,,TokTok,1,Laki-laki
ORD00954,2024-09-17 22:29:45,Vina Ramadhani,Jambi,Susu Bubuk - Brand C,55000,3,15,,,,87000,,COD,,Toko Ungu,4,Perempuan
ORD00844,2024-09-17 22:33:26,Lestari Setiawan,Tanjung Selor,Beras - Brand C,16000,3,0,,,,26000,,COD,,TokTok,4,Perempuan
ORD00946,2024-09-17 22:43:36,Aulia Iskandar,Surabaya,Minyak Goreng - Brand B,17000,5,20,,,,74000,,Transfer Bank,,Toko Biru,2,Perempuan
ORD00051,2024-09-18 04:10:37,Made Setiawan,Denpasar,Daging Ayam - Brand A,35000,4,20,,,,80000,,Kartu Kredit,,Toko Ungu,2,Laki-laki
ORD00559,2024-09-18 14:38:30,Qori Fauziah,Surabaya,Beras - Brand A,14000,3,0,,,,74000,,COD,,Toko Biru,4,Perempuan
ORD01530,2024-09-18 19:24:11,Lestari Setiawan,Tanjung Selor,Garam - Brand A,4000,4,20,,,,26000,,Transfer Bank,,Toko Orange,4,Perempuan
ORD01160,2024-09-18 21:33:00,Yani Saputra,Jayapura,Telur Ayam - Brand B,25000,5,10,,,,30000,,e-Wallet,,Toko Biru,2,Perempuan
ORD01060,2024-09-19 08:20:25,Qori Halim,Pekanbaru,Gula Pasir - Brand A,16000,2,20,,,,49000,,Kartu Kredit,,Toko Ungu,1,Perempuan
ORD00181,2024-09-19 13:10:32,Gita Hidayat,Jayapura,Daging Ayam - Brand B,40000,4,10,,,,30000,,Transfer Bank,,Toko Ungu,5,Perempuan
ORD01730,2024-09-19 14:01:24,Bella Rahmawati,Kendari,Bawang Merah - Brand C,40000,3,15,,,,59000,,Transfer Bank,,TokTok,3,Perempuan
ORD01668,2024-09-19 14:08:29,Bella Ramadhani,Pontianak,Bawang Merah - Brand A,30000,1,10,,,,85000,,Kartu Kredit,,Toko Hijau,5,Perempuan
ORD01529,2024-09-19 22:16:45,Hana Budiman,Jakarta,Gula Pasir - Brand A,16000,4,5,,,,97000,,e-Wallet,,Toko Orange,1,Perempuan
ORD01671,2024-09-20 08:57:16,Vina Budiman,Samarinda,Garam - Brand C,6000,4,5,,,,43000,,Kartu Kredit,,Toko Biru,4,Perempuan
ORD00239,2024-09-20 11:35:04,Vina Puspita,Manokwari,Daging Ayam - Brand C,45000,3,0,,,,18000,,Transfer Bank,,TokTok,1,Perempuan
ORD00403,2024-09-20 13:31:45,Zahra Rahmawati,Bengkulu,Tepung Terigu - Brand C,14000,3,15,,,,72000,,e-Wallet,,Toko Hijau,4,Perempuan
ORD00933,2024-09-20 14:18:30,Lestari Wijaya,Bandung,Susu Bubuk - Brand C,55000,2,0,,,,0,,Kartu Kredit,,TokTok,2,Perempuan
ORD01507,2024-09-20 19:19:58,Vina Kurniawan,Yogyakarta,Telur Ayam - Brand A,22000,4,10,,,,78000,,Transfer Bank,,Toko Hijau,3,Perempuan
ORD01414,2024-09-20 21:17:12,Eka Ananda,Makassar,Tepung Terigu - Brand C,14000,1,0,,,,84000,,Transfer Bank,,TokTok,1,Perempuan
ORD00811,2024-09-20 21:54:04,Nanda Iskandar,Pontianak,Daging Ayam - Brand C,45000,5,10,,,,85000,,COD,,Toko Hijau,4,Laki-laki
ORD01550,2024-09-20 22:19:32,Dina Budiman,Merauke,Garam - Brand A,4000,3,10,,,,59000,,Transfer Bank,,Toko Hijau,2,Perempuan
ORD00179,2024-09-21 02:30:40,Sari Hidayat,Semarang,Bawang Merah - Brand A,30000,2,10,,,,76000,,Kartu Kredit,,Toko Orange,5,Perempuan
ORD00179,2024-09-21 02:30:40,Sari Hidayat,Semarang,Bawang Merah - Brand A,30000,5,10,,,,0,,Kartu Kredit,,Toko Orange,5,Perempuan
ORD00189,2024-09-21 02:34:55,Fitri Ananda,Palembang,Tepung Terigu - Brand B,12000,5,15,,,,17000,,Kartu Kredit,,Toko Ungu,1,Perempuan
ORD00390,2024-09-21 05:48:45,Sari Hidayat,Semarang,Telur Ayam - Brand B,25000,5,20,,,,76000,,COD,,TokTok,4,Perempuan
ORD00390,2024-09-21 05:48:45,Sari Hidayat,Semarang,Gula Pasir - Brand B,17000,2,5,,,,0,,COD,,TokTok,4,Perempuan
ORD01128,2024-09-21 10:48:25,Putri Wijaya,Jayapura,Garam - Brand C,6000,5,15,,,,30000,,e-Wallet,,Toko Hijau,2,Perempuan
ORD01559,2024-09-21 12:07:14,Citra Iskandar,Palangka Raya,Gula Pasir - Brand C,18000,1,5,,,,50000,,Kartu Kredit,,Toko Ungu,4,Perempuan
ORD01454,2024-09-21 14:13:57,Hendra Ramadhani,Jayapura,Susu Bubuk - Brand C,55000,4,5,,,,30000,,COD,,Toko Ungu,5,Laki-laki
ORD00452,2024-09-21 16:01:11,Aulia Rahmawati,Jambi,Susu Bubuk - Brand B,50000,5,15,,,,87000,,e-Wallet,,Toko Biru,2,Perempuan
ORD00543,2024-09-22 08:48:07,Yoga Utami,Banjarbaru,Telur Ayam - Brand B,25000,5,0,,,,55000,,Transfer Bank,,Toko Orange,3,Laki-laki
ORD01693,2024-09-22 10:27:18,Andi Setiawan,Pontianak,Susu Bubuk - Brand B,50000,1,10,,,,85000,,Transfer Bank,,Toko Orange,2,Laki-laki
ORD00633,2024-09-22 21:42:39,Qori Syahputra,Jayapura,Beras - Brand C,16000,5,10,,,,30000,,Kartu Kredit,,Toko Biru,3,Perempuan
ORD00695,2024-09-22 22:46:01,Dina Halim,Wamena,Beras - Brand C,16000,3,0,,,,15000,,COD,,Toko Orange,4,Perempuan
ORD00857,2024-09-23 04:36:10,Aulia Fauziah,Padang,Garam - Brand A,4000,1,5,,,,68000,,e-Wallet,,Toko Biru,1,Perempuan
ORD00498,2024-09-23 11:13:26,Citra Rahmawati,Sofifi,Beras - Brand C,16000,3,5,,,,50000,,e-Wallet,,Toko Hijau,4,Perempuan
ORD01047,2024-09-23 16:06:16,Gita Ramadhani,Palangka Raya,Daging Ayam - Brand B,40000,3,0,,,,50000,,Kartu Kredit,,TokTok,5,Perempuan
ORD00218,2024-09-23 18:37:14,Eka Halim,Manado,Minyak Goreng - Brand A,16000,5,5,,,,93000,,e-Wallet,,Toko Biru,4,Perempuan
ORD01560,2024-09-24 00:00:45,Dewi Santoso,Mamuju,Bawang Merah - Brand C,40000,4,10,,,,46000,,e-Wallet,,Toko Biru,4,Perempuan
ORD00369,2024-09-24 00:24:33,Eka Puspita,Ambon,Garam - Brand A,4000,3,10,,,,49000,,Kartu Kredit,,Toko Biru,1,Perempuan
ORD00369,2024-09-24 00:24:33,Eka Puspita,Ambon,Tepung Terigu - Brand A,10000,4,5,,,,0,,Kartu Kredit,,Toko Biru,1,Perempuan
ORD01190,2024-09-24 00:29:32,Dina Syahputra,Mataram,Gula Pasir - Brand A,16000,5,15,,,,56000,,Kartu Kredit,,Toko Biru,2,Perempuan
ORD00958,2024-09-24 00:58:17,Bella Iskandar,Kendari,Susu Bubuk - Brand C,55000,5,10,,,,59000,,COD,,Toko Biru,4,Perempuan
ORD00689,2024-09-24 07:45:06,Ani Wijaya,Tanjungpinang,Bawang Merah - Brand C,40000,1,10,,,,48000,,Transfer Bank,,Toko Biru,2,Perempuan
ORD01145,2024-09-24 08:10:24,Lestari Budiman,Pontianak,Susu Bubuk - Brand C,55000,1,15,,,,85000,,Kartu Kredit,,TokTok,2,Perempuan
ORD01796,2024-09-24 11:28:39,Qori Halim,Pekanbaru,Susu Bubuk - Brand A,45000,1,15,,,,49000,,e-Wallet,,Toko Biru,5,Perempuan
ORD01763,2024-09-24 16:24:42,Fitri Wijaya,Serang,Bawang Merah - Brand B,35000,5,5,,,,57000,,Transfer Bank,,Toko Hijau,2,Perempuan
ORD00562,2024-09-24 17:09:33,Sari Puspita,Jakarta,Garam - Brand B,5000,2,20,,,,97000,,e-Wallet,,TokTok,2,Perempuan
ORD01716,2024-09-24 22:08:51,Hana Halim,Sorong,Gula Pasir - Brand A,16000,4,20,,,,87000,,Kartu Kredit,,Toko Hijau,1,Perempuan
ORD01646,2024-09-24 23:03:30,Dimas Utami,Bandung,Bawang Merah - Brand A,30000,1,5,,,,0,,e-Wallet,,TokTok,3,Laki-laki
ORD01197,2024-09-25 00:22:19,Fitri Maulana,Palangka Raya,Bawang Merah - Brand C,40000,2,20,,,,50000,,Transfer Bank,,Toko Biru,3,Perempuan
ORD00619,2024-09-25 03:20:46,Ani Fauziah,Jakarta,Daging Ayam - Brand B,40000,1,15,,,,97000,,Transfer Bank,,Toko Biru,3,Perempuan
ORD00465,2024-09-25 06:35:03,Vina Maulana,Wamena,Telur Ayam - Brand C,28000,3,15,,,,15000,,Transfer Bank,,Toko Hijau,3,Perempuan
ORD01356,2024-09-25 08:59:06,Bella Maulana,Pekanbaru,Susu Bubuk - Brand B,50000,5,10,,,,49000,,e-Wallet,,Toko Biru,4,Perempuan
ORD01042,2024-09-25 12:26:52,Vina Syahputra,Pekanbaru,Minyak Goreng - Brand A,16000,3,10,,,,49000,,Transfer Bank,,Toko Ungu,2,Perempuan
ORD00013,2024-09-25 16:24:23,Arif Rahmawati,Palangka Raya,Garam - Brand B,5000,3,15,,,,50000,,Transfer Bank,,Toko Ungu,4,Laki-laki
